track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason,median_voiced_prob,jump_rate,octave_jump_rate
billboard_2024_05,billboard,2024,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2024_5_Jack Harlow_Lovin' On Me_vocals.mp3,2024_5_Jack Harlow_Lovin' On Me_vocals.mp3,Jack Harlow,Lovin' On Me,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2024_05.npz,58.978684807256236,0.8559053806430118,0.8429133858267717,,0.03489742801962526,0.0883177570093458,0.002336448598130841
billboard_2021_05,billboard,2021,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2021_5_Olivia Rodrigo_Good 4 U_vocals.mp3,2021_5_Olivia Rodrigo_Good 4 U_vocals.mp3,Olivia Rodrigo,Good 4 U,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2021_05.npz,49.48172335600907,0.7489899648116773,0.8301267010793055,,0.5485250542599845,0.0673076923076923,0.0016968325791855204
billboard_2019_03,billboard,2019,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2019_3_Halsey_Without Me_vocals.mp3,2019_3_Halsey_Without Me_vocals.mp3,Halsey,Without Me,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2019_03.npz,131.65714285714287,0.8734599884858952,0.8800705467372134,,0.2065067991177523,0.05572258969733414,0.0028061735818801364
billboard_1993_02,billboard,1993,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1993_2_Tag Team_Whoomp! (There It Is)_vocals.mp3,1993_2_Tag Team_Whoomp! (There It Is)_vocals.mp3,Tag Team,Whoomp! (There It Is),success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1993_02.npz,79.13360544217687,0.7819006390434962,0.8418427230046949,,0.07797523762294818,0.09623430962343096,0.0048814504881450485
billboard_2001_05,billboard,2001,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2001_5_Jennifer Lopez feat. Ja Rule_I'm Real (Murder Remix)_vocals.mp3,2001_5_Jennifer Lopez feat. Ja Rule_I'm Real (Murder Remix)_vocals.mp3,Jennifer Lopez feat. Ja Rule,I'm Real (Murder Remix),success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2001_05.npz,42.05133786848073,0.7604383147553372,0.8741027056874655,,0.3721358982975087,0.06637168141592921,0.007585335018963337
suno_v4_5_1952_04,suno_v4_5,1952,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1952_4_cbf0dc42-1d22-423a-91c7-0f0961f8477c_vocals.mp3,1952_4_cbf0dc42-1d22-423a-91c7-0f0961f8477c_vocals.mp3,Jo Stafford,You Belong to Me,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1952_04.npz,42.678276643990934,0.7807620237351656,0.8737758433079434,,0.8266685594724996,0.03613707165109034,0.003738317757009346
suno_v4_5_1950_01,suno_v4_5,1950,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1950_1_38fa2ceb-b210-4c6c-9c91-40b5bf255495_vocals.mp3,1950_1_38fa2ceb-b210-4c6c-9c91-40b5bf255495_vocals.mp3,Gordon Jenkins & The Weavers,Goodnight Irene,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1950_01.npz,87.56244897959184,0.8574273858921162,0.8827897109520021,,0.6860828109301793,0.06219951923076923,0.00030048076923076925
billboard_2023_01,billboard,2023,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2023_1_Morgan Wallen_Last Night_vocals.mp3,2023_1_Morgan Wallen_Last Night_vocals.mp3,Morgan Wallen,Last Night,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2023_01.npz,43.0962358276644,0.8210482062780269,0.865301724137931,,0.10857977072874497,0.08473520249221184,0.005607476635514018
billboard_2008_03,billboard,2008,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2008_3_Alicia Keys_No One_vocals.mp3,2008_3_Alicia Keys_No One_vocals.mp3,Alicia Keys,No One,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2008_03.npz,59.582403628117916,0.7397734718711972,0.818394388152767,,0.12793708630129036,0.06669842782277274,0.008099094807050978
billboard_2001_04,billboard,2001,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2001_4_Train_Drops of Jupiter (Tell Me)_vocals.mp3,2001_4_Train_Drops of Jupiter (Tell Me)_vocals.mp3,Train,Drops of Jupiter (Tell Me),success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2001_04.npz,47.322267573696145,0.7790760869565218,0.8930323846908734,,0.092037570812181,0.05387575590984057,0.0016492578339747114
