track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason
billboard_1957_05,billboard,1957,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_5_Jimmy Dorsey_So Rare_vocals.mp3,1957_5_Jimmy Dorsey_So Rare_vocals.mp3,Jimmy Dorsey,So Rare,pending,,,,,
billboard_1958_01,billboard,1958,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_1_Domenico Modugno_Volare (Nel blu dipinto di blu)_vocals.mp3,1958_1_Domenico Modugno_Volare (Nel blu dipinto di blu)_vocals.mp3,Domenico Modugno,Volare (Nel blu dipinto di blu),pending,,,,,
billboard_1958_02a,billboard,1958,02a,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_2a_The Everly Brothers_All I Have to Do Is Dream_vocals.mp3,1958_2a_The Everly Brothers_All I Have to Do Is Dream_vocals.mp3,The Everly Brothers,All I Have to Do Is Dream,pending,,,,,
billboard_1958_02b,billboard,1958,02b,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_2b_The Everly Brothers_Claudette_vocals.mp3,1958_2b_The Everly Brothers_Claudette_vocals.mp3,The Everly Brothers,Claudette,pending,,,,,
billboard_1958_03a,billboard,1958,03a,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_3a_Elvis Presley_Don't_vocals.mp3,1958_3a_Elvis Presley_Don't_vocals.mp3,Elvis Presley,Don't,pending,,,,,
billboard_1958_03b,billboard,1958,03b,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_3b_Elvis Presley_I Beg of You_vocals.mp3,1958_3b_Elvis Presley_I Beg of You_vocals.mp3,Elvis Presley,I Beg of You,pending,,,,,
billboard_1958_04,billboard,1958,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_4_David Seville_Witch Doctor_vocals.mp3,1958_4_David Seville_Witch Doctor_vocals.mp3,David Seville,Witch Doctor,pending,,,,,
billboard_1958_05,billboard,1958,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_5_Perez Prado_Patricia_vocals.mp3,1958_5_Perez Prado_Patricia_vocals.mp3,Perez Prado,Patricia,pending,,,,,
billboard_1959_01,billboard,1959,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_1_Johnny Horton_The Battle of New Orleans_vocals.mp3,1959_1_Johnny Horton_The Battle of New Orleans_vocals.mp3,Johnny Horton,The Battle of New Orleans,pending,,,,,
billboard_1959_02,billboard,1959,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_2_Bobby Darin_Mack the Knife_vocals.mp3,1959_2_Bobby Darin_Mack the Knife_vocals.mp3,Bobby Darin,Mack the Knife,pending,,,,,
