track_id,source,year,position,artist,title,alpha_dfa,alpha_width,alpha_peak,spectrum_skew,mfdfa_ok,contour_length
billboard_1994_04,billboard,1994,04,Celine Dion,The Power of Love,1.4457405011846034,14.112172594756569,13.796914830645221,-0.8104673846245535,True,1768.0
billboard_1976_01,billboard,1976,01,Wings,Silly Love Songs,1.124713025515706,1.4451091765440527,2.0681255553397726,-0.6291748618567586,True,1444.0
billboard_1988_04,billboard,1988,04,Rick Astley,Never Gonna Give You Up,0.8642934267764821,1.8117183608932912,1.0812246299853332,0.542673897208925,True,4458.0
billboard_1988_01,billboard,1988,01,George Michael,Faith,0.9889656308410829,15.679533269126143,16.041070925570068,-0.9525318690511689,True,1613.0
billboard_1975_03,billboard,1975,03,Elton John,Philadelphia Freedom,0.9241053955292767,10.607019996929711,10.801541067926337,-0.915802641899538,True,2991.0
billboard_1973_01,billboard,1973,01,Tony Orlando and Dawn,Tie a Yellow Ribbon Round the Ole Oak Tree,1.0662519332502154,7.924622165422814,8.534110997559793,-0.9039960327226869,True,2160.0
billboard_1951_02,billboard,1951,02,Tony Bennett,Because of You,1.175818393153222,12.152652401132375,12.412444778084392,-0.8890457931962238,True,1647.0
billboard_1951_04,billboard,1951,04,Rosemary Clooney,Come on-a My House,0.967305192401248,3.923151846985466,1.2794322117757844,0.9055731655970742,True,2116.0
billboard_1952_02,billboard,1952,02,Kay Starr,Wheel of Fortune,1.2243014114823998,13.006702157048995,13.320755576343814,-0.8491839778005302,True,1735.0
billboard_1977_03,billboard,1977,03,The Emotions,Best of My Love,1.170438377041125,14.568787799826229,14.637994349930665,-0.8912967253016134,True,2205.0
billboard_1953_04,billboard,1953,04,Eddie Fisher,I'm Walking Behind You,1.1660745229927616,8.989667557091229,9.188022216272188,-0.8453266612966492,True,2053.0
billboard_1994_01,billboard,1994,01,Ace of Base,The Sign,1.1560481612403357,1.3026874854782087,-0.023803180280068004,1.0,True,2499.0
billboard_1982_02,billboard,1982,02,Survivor,Eye of the Tiger,1.2966513953895389,5.378813498095922,5.899981703036978,-0.8651700505334903,True,1935.0
billboard_1961_04,billboard,1961,04,Roy Orbison,Crying,1.1265594518059472,7.3628505850773385,7.902842507414675,-0.8655404782308538,True,2878.0
billboard_1975_05,billboard,1975,05,Frankie Valli,My Eyes Adored You,1.2301031893281833,13.892101290076003,13.914876861088686,-0.8607420272433649,True,1751.0
billboard_1984_02,billboard,1984,02,Tina Turner,What's Love Got to Do with It,1.211956031318713,1.5284806705624305,1.4511460686327848,0.19927233327246752,True,1885.0
billboard_1986_03,billboard,1986,03,Klymaxx,I Miss You,1.1399171186756005,11.735030222872767,12.158711827864494,-0.9091166698946276,True,2332.0
billboard_1991_03,billboard,1991,03,C&C Music Factory,Gonna Make You Sweat,1.38824956120201,13.993012802565556,14.189305619693641,-0.8856498967167746,True,1420.0
billboard_1991_02,billboard,1991,02,Color Me Badd,I Wanna Sex You Up,1.305015687944959,14.41572387524471,14.663745290177843,-0.8974742878410887,True,1827.0
billboard_1958_01,billboard,1958,01,Domenico Modugno,Volare (Nel blu dipinto di blu),1.1908510403493298,9.777512552411391,5.530906203353509,0.07903290716013839,True,1995.0
